id,file_node_id,start_line,start_column,end_line,end_column,type
1,1,1,7,1,18,0
2,1,1,1,25,0,1
3,1,2,9,2,16,0
4,1,2,5,8,0,1
5,1,2,18,2,21,3
6,1,2,24,2,31,3
7,1,2,34,2,36,0
8,1,3,9,6,11,5
9,1,7,9,7,12,3
10,1,7,14,7,18,0
11,1,7,22,7,29,3
12,1,9,9,9,15,0
13,1,9,5,15,0,1
14,1,9,17,9,20,3
15,1,9,26,9,28,0
16,1,10,9,13,11,5
17,1,14,16,14,19,3
18,1,14,21,14,27,0
19,1,16,9,16,15,0
20,1,16,5,25,0,1
21,1,16,17,16,20,3
22,1,16,26,16,28,0
23,1,17,9,21,11,5
24,1,22,9,22,17,3
25,1,22,20,22,22,0
26,1,22,26,22,29,3
27,1,22,31,22,35,0
28,1,23,9,23,17,3
29,1,23,20,23,22,0
30,1,23,26,23,28,0
31,1,23,30,23,38,3
32,1,24,16,24,24,3
33,34,1,6,1,18,0
34,34,1,27,1,38,0
35,34,1,43,1,44,0
36,34,3,1,3,8,0
37,34,3,12,3,13,0
38,34,5,1,7,0,1
39,34,5,5,5,8,0
40,34,6,5,6,9,0
41,34,6,11,6,18,0
42,34,6,20,6,26,0
43,34,8,1,8,4,0
