id,type,serialized_name
1,262144,"/	m/dataset/example2/Module.py	s	p"
2,8,".	mModule	s	p"
3,128,".	mModule	s	p	nNumber	s	p"
5,8192,".	mModule	s	p	nNumber	s	p	n__init__	s	p"
9,1,".	mbuiltins	s	p"
10,128,".	mbuiltins	s	p	nint	s	p"
13,2048,".	mModule	s	p	nNumber	s	p	nval	s	p"
16,4096,".	mModule	s	p	nNumber	s	p	n__add__	s	p"
23,1,"	munsolved symbol	s	p"
25,4096,".	mModule	s	p	nNumber	s	p	n__repr__	s	p"
28,128,".	mbuiltins	s	p	nstr	s	p"
32,262144,"/	m/dataset/example2/main.py	s	p"
33,8,".	mmain	s	p"
34,4096,".	mmain	s	p	nmain	s	p"
35,4096,".	mbuiltins	s	p	nprint	s	p"
